State,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,DEATHS2020,DEATHS2021,Overdose 2015,Overdose 2016,Overdose 2017,Overdose 2018,Overdose 2019,Overdose 2020,Overdose 2021,"2015 OD deaths per 10,000 population","2016 OD deaths per 10,000 population","2017 OD deaths per 10,000 population","2018 OD deaths per 10,000 population","2019 OD deaths per 10,000 population","2020 OD deaths per 10,000 population","2021 OD deaths per 10,000 population",2021 % increase in OD Deaths since 2015,2015 % of all deaths OD deaths,2016 % of all deaths OD deaths,2017 % of all deaths OD deaths,2018 % of all deaths OD deaths,2019 % of all deaths OD deaths,2020 % of all deaths OD deaths,2021 % of all deaths OD deaths
Alabama,4852347,4863525,4874486,4887681,4903185,5024803,5039877,51876,51710,53195,53665,53879,16148,64868,9132,8578,9748,9362,8805,10853,14306,18.81975877,17.63741319,19.99800594,19.15427787,17.95771524,21.59885671,28.38561338,0.638333566,0.176035161,0.165886676,0.183250305,0.174452623,0.163421741,0.672095616,0.220540174
Alaska,737498,741456,739700,735139,731545,732441,732673,4350,4447,4463,4664,4819,1384,5641,2155,6491,6288,5691,5870,6295,11098,29.22041822,87.54396754,85.00743545,77.41393124,80.24113349,85.94548912,151.472758,0.194179131,0.495402299,1.459635709,1.408917768,1.220197256,1.21809504,4.548410405,1.96738167
Arizona,6829676,6941072,7044008,7158024,7278717,7177986,7276316,52846,56032,56333,60127,60523,18340,75665,15063,16987,44406,69547,79359,107414,126987,22.05521902,24.47316495,63.04081426,97.15949541,109.0288302,149.6436466,174.5210076,0.118618441,0.285035764,0.303166048,0.788276854,1.156668385,1.311220528,5.856815703,1.678279257
Arkansas,2978048,2989918,3001345,3009733,3017804,3012232,3025891,31318,31134,32340,31743,31322,9449,38257,4631,4537,4799,5299,4758,5328,6775,15.55045453,15.1743292,15.98949804,17.60621291,15.76643148,17.68788061,22.39009931,0.683542435,0.147870234,0.145724931,0.148392084,0.166934442,0.151906009,0.563869193,0.177091774
California,38918045,39167117,39358497,39461588,39512223,39499738,39237836,253798,260121,265241,277578,282520,81738,332337,57473,59674,60704,65032,170995,338141,498786,14.76769966,15.23573972,15.42335318,16.47982337,43.27648181,85.60588427,127.1186311,0.115225768,0.226451745,0.229408621,0.228863562,0.234283697,0.605249186,4.136888595,1.500844023
Colorado,5450623,5539215,5611885,5691287,5758736,5784308,5812069,36253,36719,37702,38490,39116,11835,47988,11095,11142,12047,24026,38185,57493,78447,20.35547129,20.11476355,21.46694025,42.21540752,66.30795369,99.39477635,134.9725889,0.141433069,0.306043638,0.303439636,0.31953212,0.624214082,0.976198998,4.857879172,1.63472118
Connecticut,3587122,3578141,3573297,3571520,3565287,3600260,3605597,30375,30116,31118,31263,31149,9428,37646,32990,45528,56776,58325,63808,75478,80786,91.96787843,127.2392564,158.8896753,163.3058194,178.9701643,209.64597,224.0572088,0.408362835,1.086090535,1.511754549,1.824538852,1.8656239,2.048476677,8.00572762,2.14593848
Delaware,941252,948921,956823,965479,973764,991886,1003384,8543,8505,9057,9420,9454,2649,11655,2391,2724,3866,17922,22524,26249,25452,25.40233646,28.70628851,40.40454713,185.6280665,231.3086128,264.6372668,253.6616091,0.093941537,0.279878263,0.320282187,0.426852159,1.902547771,2.382483605,9.909022273,2.183783784
District of Columbia,675400,685815,694906,701547,705749,690093,670050,4883,4852,5138,5321,5677,1387,6552,5063,10187,18534,14889,15627,23436,25608,74.9629849,148.5386001,266.7123323,212.2309696,221.4243307,339.6064009,382.1804343,0.197711653,1.036862584,2.099546579,3.607240171,2.798158241,2.752686278,16.89689978,3.908424908
Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,191076,193671,199813,209998,211692,63596,255553,36892,48435,65501,62068,110407,281225,388561,18.25519488,23.49676379,31.2450912,29.21628405,51.40532264,130.3782506,178.3934239,0.094945195,0.193075007,0.250089069,0.327811504,0.29556472,0.521545453,4.422054846,1.520471292
Georgia,10178447,10301890,10410330,10511131,10617423,10725800,10799566,78553,80059,82160,84569,86319,25664,105276,34090,57366,67937,65640,61637,76621,107038,33.49233925,55.68492772,65.25921849,62.4480848,58.0526932,71.43616327,99.11324214,0.318485024,0.433974514,0.716546547,0.826886563,0.776170937,0.714060636,2.985543953,1.016736958
Hawaii,1422052,1427559,1424393,1420593,1415872,1451911,1441553,11070,10854,11297,12454,12748,3773,14648,1884,6355,4205,5764,7685,8070,9111,13.24846068,44.51654888,29.52134699,40.57460511,54.27750531,55.58191928,63.20267101,0.20678301,0.170189702,0.585498434,0.372222714,0.462823189,0.602839661,2.138881527,0.621996177
Idaho,1651059,1682380,1717715,1750536,1787065,1847772,1900923,12888,13278,13687,13451,13308,4450,16918,2570,2630,2818,2798,3062,4850,12023,15.56576718,15.6326157,16.40551547,15.98367586,17.13423966,26.24782711,63.24822205,0.213756966,0.199410304,0.198071999,0.2058888,0.208014274,0.230087166,1.08988764,0.710663199
Illinois,12858913,12820527,12778828,12723071,12671821,12785245,12671469,107564,106158,108770,109549,110004,32486,130319,60342,94488,123647,140525,137549,178459,192496,46.92620597,73.70055849,96.75926462,110.4489631,108.5471457,139.5819947,151.9129313,0.313471449,0.560986947,0.890069519,1.136774846,1.282759313,1.250399985,5.493412547,1.477113851
Indiana,6608422,6634304,6658078,6695497,6732219,6785644,6805985,62900,62128,65300,63233,62175,19664,76906,14427,16365,20889,20276,67244,101191,128641,21.83123293,24.66724467,31.37391902,30.28303948,99.88385702,149.1251236,189.0115832,0.112149315,0.22936407,0.263407803,0.319892802,0.320655354,1.081527945,5.146002848,1.67270434
Iowa,3120960,3131371,3141550,3148618,3155070,3188669,3193079,29750,29158,30581,28919,28809,9005,35538,11007,10643,13451,12653,11353,15306,18007,35.26799446,33.98830736,42.81644411,40.18588473,35.98335378,48.00121932,56.39384431,0.611262287,0.369983193,0.365011318,0.439848272,0.437532418,0.394078239,1.699722376,0.506697057
Kansas,2909011,2910844,2908718,2911359,2913314,2935880,2934582,26530,26238,27016,25734,25230,7981,31407,3928,3787,3783,4047,8170,15838,24800,13.50287091,13.00997237,13.00572967,13.90072471,28.04366436,53.94634658,84.5094804,0.158387097,0.148058801,0.144332647,0.140028131,0.157262765,0.323820848,1.9844631,0.789632884
Kentucky,4425976,4438182,4452268,4461153,4467673,4503958,4509394,46309,46715,48541,46582,46074,14557,56853,14286,16155,18737,62880,64248,88582,118712,32.27762645,36.40003948,42.08416924,140.9501086,143.8064066,196.6759015,263.2548852,0.120341667,0.30849295,0.3458204,0.386003585,1.349877635,1.394452403,6.085182386,2.088051642
Louisiana,4664628,4678135,4670560,4659690,4648794,4651203,4624047,43973,43677,45011,46238,46343,13460,55335,9836,11416,12344,14199,14106,19651,27638,21.08635458,24.40288705,26.42937892,30.47198419,30.34335357,42.24928475,59.77015372,0.355886822,0.223682714,0.261373263,0.274244074,0.307085082,0.304382539,1.459955423,0.499466884
Maine,1328262,1331317,1334612,1339057,1344212,1362280,1372247,14175,14172,14551,14416,14335,4507,17635,13006,16839,20086,20332,17716,23648,29658,97.91742894,126.4837751,150.5006699,151.8381966,131.7946871,173.5913322,216.1272715,0.438532605,0.917530864,1.188187976,1.380386228,1.410377358,1.235856296,5.24694919,1.681769209
Maryland,5985562,6003323,6023868,6035802,6045680,6172679,6165129,47192,47258,49834,50845,51453,15128,61654,57023,87473,123367,131429,127519,136306,151248,95.26757888,145.7076356,204.7969843,217.7490249,210.9258181,220.8214618,245.3281999,0.377016556,1.208319207,1.850967032,2.475558855,2.58489527,2.478358891,9.010179799,2.453174166
Massachusetts,6794228,6823608,6859789,6882635,6892503,7022220,6984723,57490,55981,58172,58890,58564,17353,70431,82288,106186,118858,123905,118808,126153,131212,121.1145696,155.6156215,173.26772,180.025528,172.372794,179.6483163,187.8556959,0.627137762,1.431344582,1.896822136,2.043216668,2.104007472,2.028686565,7.269809255,1.862986469
Michigan,9931715,9950571,9973114,9984072,9986857,10067664,10050811,96307,94761,97505,96260,95983,29450,117336,23444,24297,31302,56918,89729,82705,151577,23.60518803,24.41769422,31.38638544,57.00880362,89.84708603,82.14914602,150.8107157,0.154667265,0.243429865,0.256402951,0.321029691,0.591294411,0.934842628,2.808319185,1.291820072
Minnesota,5482032,5522744,5566230,5606249,5639632,5707165,5707390,42860,42608,43970,43494,43200,13403,53578,6669,7668,8288,8140,8585,11109,47201,12.16519714,13.88440239,14.88979076,14.51951207,15.22262445,19.46500583,82.7015501,0.141289379,0.155599627,0.179966204,0.188492154,0.187152251,0.198726852,0.828844289,0.880977267
Mississippi,2988471,2987938,2988510,2981020,2976149,2956870,2949965,31487,31490,31950,31603,31536,9793,38194,3907,3950,3978,3989,14198,22137,33160,13.07357508,13.21981915,13.31098106,13.38132585,47.70594483,74.86632825,112.4081133,0.117822678,0.124082955,0.125436647,0.124507042,0.126222194,0.450215627,2.260492188,0.868199194
Missouri,6071732,6087135,6106670,6121623,6137428,6154481,6168187,59996,59195,61348,60322,60141,18574,73333,13090,14478,20534,38943,72156,82903,94418,21.55892256,23.78458832,33.6255275,63.61548236,117.5671633,134.7034787,153.0725317,0.138638819,0.218181212,0.244581468,0.334713438,0.645585359,1.199780516,4.463389685,1.287524034
Montana,1030475,1040859,1052482,1060665,1068778,1086193,1104271,9682,9923,10260,9666,9870,3050,12022,1558,1505,1479,1290,1566,4296,6728,15.11924113,14.45921109,14.05249686,12.16218127,14.65224771,39.55098219,60.92707316,0.23156956,0.160917166,0.151667842,0.144152047,0.13345748,0.158662614,1.40852459,0.559640659
Nebraska,1891277,1905616,1915947,1925614,1934408,1961455,1963692,16557,16135,16881,15731,15582,5041,19213,1547,1425,1512,1861,1753,2166,2617,8.179658506,7.477896911,7.891658798,9.664449885,9.062204044,11.0428228,13.32693722,0.591134887,0.093434801,0.088317323,0.089568154,0.118301443,0.112501604,0.429676651,0.136209858
Nevada,2866939,2917563,2969905,3027341,3080156,3114071,3143991,22454,23312,24504,25146,25610,7894,31808,26784,30388,30194,31407,31784,35146,45842,93.42368289,104.1554201,101.6665516,103.7445071,103.1895787,112.8619097,145.8083054,0.584267702,1.192838692,1.30353466,1.232206987,1.248985922,1.241077704,4.452242209,1.441209759
New Hampshire,1336350,1342307,1348787,1353465,1359711,1377848,1388992,11990,11837,12352,12378,12125,3659,15158,20453,21845,22717,22441,20693,20325,19028,153.0512216,162.7422043,168.4254074,165.8040659,152.1867514,147.5126429,136.9914298,1.074889636,1.705838198,1.845484498,1.839135363,1.812974632,1.706639175,5.554796392,1.255310727
New Jersey,8867949,8870827,8885525,8886025,8882190,9279743,9267130,72547,71177,74783,75450,75723,22016,90557,16253,21040,29393,103273,156997,163035,160073,18.32780049,23.71819448,33.07964358,116.2195695,176.7548319,175.6891328,172.7320109,0.101534925,0.224034074,0.295601107,0.393043874,1.368760769,2.073306657,7.405296148,1.767649105
New Mexico,2089291,2091630,2091784,2092741,2096829,2117566,2115877,17633,18141,18527,18574,18388,5808,23082,24264,22458,23377,22841,26151,34416,47338,116.1350908,107.3708065,111.7562808,109.1439409,124.7168939,162.5262211,223.7275607,0.512569183,1.376056258,1.237969241,1.261780105,1.22972973,1.422177507,5.925619835,2.050862144
New York,19654666,19633428,19589572,19530351,19453561,20154933,19835913,153893,151605,155137,160899,164817,46447,192137,78357,106963,133280,126602,119328,146053,170417,39.86686927,54.48004291,68.03619803,64.82320773,61.3399264,72.46513794,85.9133633,0.459795678,0.509165459,0.705537416,0.859111624,0.786841435,0.724002985,3.144508795,0.886955662
North Carolina,10031646,10154788,10268233,10381615,10488084,10457177,10551162,88466,89237,91775,93703,94312,28852,115709,66948,86300,111237,120216,120887,147944,196243,66.73680471,84.98454128,108.3311997,115.7970123,115.2612813,141.4760408,185.9918367,0.341148474,0.756765311,0.967087643,1.212062108,1.282947184,1.281777504,5.127686122,1.696004632
North Dakota,754066,754434,754942,758080,762062,778962,774948,6323,6145,6377,6150,6250,2116,7588,826,848,979,900,966,1354,1550,10.95394833,11.24021452,12.96788363,11.87209793,12.67613396,17.38210593,20.00134203,0.532903226,0.130634193,0.137998373,0.153520464,0.146341463,0.15456,0.639886578,0.2042699
Ohio,11617527,11634370,11659650,11676341,11689100,11790587,11780017,118309,117570,122177,119884,117750,36827,144406,116905,182614,257851,218118,206871,239266,270716,100.6281285,156.960798,221.1481477,186.803383,176.9776972,202.929676,229.8095156,0.431836316,0.988132771,1.55323637,2.110470874,1.819408762,1.756866242,6.497026638,1.874686647
Oklahoma,3909500,3926331,3931316,3940235,3956971,3962031,3986639,39730,39282,40329,40486,40266,11925,48995,32759,30796,32462,26618,22576,24056,30952,83.79332395,78.43454869,82.57285855,67.55434638,57.05374136,60.71633463,77.63933479,1.058380719,0.824540649,0.783972303,0.804929455,0.657461839,0.560671534,2.017274633,0.631737932
Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,35388,35334,36831,36180,36563,11334,44592,21109,20790,21021,23608,23522,28808,44921,52.56497348,50.83159412,50.73094211,56.45299752,55.76924308,67.91866358,105.7921814,0.469913849,0.596501639,0.588385125,0.570742038,0.652515202,0.643327954,2.541732839,1.007378005
Pennsylvania,12784826,12782275,12787641,12800922,12801989,12989625,12964056,132748,129972,135741,134063,133439,39879,159229,37139,47327,66405,58549,52911,60097,65602,29.04928076,37.02549038,51.92904618,45.73811168,41.33029641,46.26538487,50.6029903,0.566126033,0.279770693,0.364132275,0.489203704,0.436727509,0.396518259,1.506983625,0.411997814
Rhode Island,1056065,1056770,1055673,1058287,1059361,1096229,1095610,10079,9831,10044,9939,9802,3036,11967,15132,16996,17598,17515,17420,19277,22136,143.2866348,160.829698,166.6993472,165.5033086,164.4387513,175.8482945,202.0426977,0.683592338,1.501339419,1.728817007,1.7520908,1.762249723,1.777188329,6.349472991,1.849753489
South Carolina,4891938,4957968,5021268,5084156,5148714,5130729,5190705,46872,47256,48815,50428,50744,15134,62520,34606,38061,46330,52112,56324,77606,103741,70.7408802,76.76733694,92.26753083,102.4988218,109.394307,151.257258,199.8591713,0.333580744,0.738308585,0.805421534,0.949093516,1.033394146,1.10996374,5.12792388,1.659325016
South Dakota,853988,862996,872868,878698,884659,887099,895376,7744,7750,8079,7381,7337,2496,9175,1274,1447,2850,2027,2446,2905,3083,14.91824241,16.76716926,32.65098503,23.06822139,27.64907156,32.74719056,34.43246189,0.413233863,0.164514463,0.186709677,0.352766431,0.274624035,0.333378765,1.163862179,0.336021798
Tennessee,6591170,6646010,6708799,6771631,6829174,6920119,6975218,66105,66653,69124,68970,67977,21873,84944,51699,74939,83315,89215,101008,134522,184715,78.43675706,112.7578803,124.1876527,131.7481712,147.9066136,194.3926109,264.8160961,0.279885229,0.782073973,1.124315485,1.205297726,1.29353342,1.485914353,6.150139441,2.174550292
Texas,27470056,27914410,28295273,28628666,28995881,29217653,29527941,187837,188794,194141,201799,202786,60137,248605,31319,33099,34634,42431,109657,139366,192457,11.40114166,11.8573167,12.24020705,14.82115862,37.8181301,47.69924538,65.17792758,0.162732455,0.166734988,0.175318072,0.178396114,0.210263678,0.54075232,2.317475099,0.774147744
Utah,2981835,3041868,3101042,3153550,3205958,3281684,3337975,17269,17786,17861,17695,17443,5705,22167,32851,37564,32843,32757,29209,28827,30968,110.1704152,123.4899082,105.909562,103.8734125,91.10849238,87.8420957,92.77481108,1.060804702,1.902310499,2.111998201,1.838810817,1.851200904,1.67453993,5.052936021,1.397031624
Vermont,625216,623657,624344,624358,623989,642495,645570,5912,5811,6021,5778,5634,1804,6884,4010,5241,6850,7354,7145,7674,12301,64.13783396,84.0365778,109.715157,117.7849887,114.5052236,119.4406182,190.5447899,0.325989757,0.678281461,0.90191017,1.13768477,1.27275874,1.268193113,4.253880266,1.786897153
Virginia,8361808,8410106,8463587,8501286,8535519,8632044,8642274,65247,65329,67950,68737,69729,20881,84697,44605,57795,71918,75266,77705,99891,131068,53.34372662,68.72089365,84.97342793,88.53484049,91.03722925,115.7211432,151.6591582,0.340319529,0.683632964,0.884676024,1.058395879,1.094985234,1.114385693,4.783822614,1.547492827
Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,53852,54708,56062,57709,58587,17643,70836,43614,47625,46115,49578,52013,65811,93657,60.88231193,65.28649083,62.12144848,65.89428923,68.30430841,85.26082797,121.0243281,0.465677953,0.809886355,0.870530818,0.822571439,0.859103433,0.887790807,3.730147934,1.322166695
West Virginia,1842050,1831023,1817004,1804291,1792147,1789798,1782959,22759,22459,23142,22822,22567,6995,27102,37910,43006,55161,53934,48871,62714,83955,205.803317,234.874166,303.5821605,298.9207395,272.6952644,350.3970839,470.8745406,0.451551426,1.665714662,1.914867091,2.383588281,2.363245991,2.165595781,8.965546819,3.097741864
Wisconsin,5760940,5772628,5790186,5807406,5822434,5892323,5895908,51244,51341,52403,51254,50393,16194,62985,14999,43254,55217,56382,56436,73093,86527,26.03568168,74.92947753,95.36308505,97.08637557,96.92853539,124.0478501,146.7577174,0.173344736,0.292697682,0.842484564,1.053699216,1.100050728,1.119917449,4.513585278,1.373771533
Wyoming,585613,584215,578931,577601,578759,577267,578803,4824,4790,4754,4732,4971,1500,6042,1235,1143,2363,2853,2956,3638,4163,21.08901271,19.56471504,40.81660854,49.39395881,51.0747997,63.02109769,71.92429894,0.296661062,0.256011609,0.238622129,0.497055111,0.602916314,0.594648964,2.425333333,0.689010262