Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Drug Use Disorder Estimate,Drug Use Disorder Estimate Description,Drug Use Disorder Estimate Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude
County,Columbia,All,All (12 to 100 years),2019,2019 Annual,1074,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,19,19,42,037,41.049120856,-76.4100218,POINT (-76.4100218 41.049120856)
County,Clinton,All,All (12 to 100 years),2016,2016 Annual,915,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,18,18,42,035,41.232862737,-77.6428376,POINT (-77.6428376 41.232862737)
County,Warren,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,62,62,42,123,41.816752365,-79.27858158,POINT (-79.27858158 41.816752365)
County,Armstrong,All,All (12 to 100 years),2016,2016 Annual,3186,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,3,03,42,005,40.815095256,-79.47316899,POINT (-79.47316899 40.815095256)
County,Westmoreland,All,All (12 to 100 years),2020,2020 Annual,7953,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,65,65,42,129,40.310314999,-79.47134118,POINT (-79.47134118 40.310314999)
County,Monroe,All,All (12 to 100 years),2016,2016 Annual,1682,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,45,45,42,089,41.060917865,-75.34083603,POINT (-75.34083603 41.060917865)
State,Commonwealth,All,25 to 34 years,2020,2020 Annual,69727,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Susquehanna,All,All (12 to 100 years),2017,2017 Annual,606,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,58,58,42,115,41.820568598,-75.80250303,POINT (-75.80250303 41.820568598)
County,Luzerne,All,All (12 to 100 years),2016,2016 Annual,8673,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,40,40,42,079,41.178364388,-75.9919961,POINT (-75.9919961 41.178364388)
County,Clinton,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,18,18,42,035,41.232862737,-77.6428376,POINT (-77.6428376 41.232862737)
State,Commonwealth,All,25 to 34 years,2019,2019 Annual,83550,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Clinton,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,18,18,42,035,41.232862737,-77.6428376,POINT (-77.6428376 41.232862737)
County,Jefferson,All,All (12 to 100 years),2020,2020 Annual,628,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,33,33,42,065,41.131390912,-79.00101814,POINT (-79.00101814 41.131390912)
State,Commonwealth,All,65+ years,2017,2017 Annual,5090,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
State,Commonwealth,All,25 to 34 years,2018,2018 Annual,85615,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Elk,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,24,24,42,047,41.428194161,-78.64947713,POINT (-78.64947713 41.428194161)
County,Bucks,All,All (12 to 100 years),2018,2018 Annual,16730,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,9,09,42,017,40.335011331,-75.11291241,POINT (-75.11291241 40.335011331)
County,Forest,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,27,27,42,053,41.513578758,-79.23780995,POINT (-79.23780995 41.513578758)
County,Somerset,All,All (12 to 100 years),2018,2018 Annual,938,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
County,Juniata,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,34,34,42,067,40.534330084,-77.405775,POINT (-77.405775 40.534330084)
State,Commonwealth,All,15 to 24 years,2017,2017 Annual,26726,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Union,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
County,York,All,All (12 to 100 years),2018,2018 Annual,8556,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,67,67,42,133,39.921925312,-76.72576052,POINT (-76.72576052 39.921925312)
County,Monroe,All,All (12 to 100 years),2020,2020 Annual,5860,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,45,45,42,089,41.060917865,-75.34083603,POINT (-75.34083603 41.060917865)
County,York,All,All (12 to 100 years),2016,2016 Annual,5841,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,67,67,42,133,39.921925312,-76.72576052,POINT (-76.72576052 39.921925312)
State,Commonwealth,All,45 to 54 years,2016,2016 Annual,65522,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Bedford,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,5,05,42,009,40.007375364,-78.49116474,POINT (-78.49116474 40.007375364)
County,Adams,All,All (12 to 100 years),2020,2020 Annual,1346,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,1,01,42,001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
County,Greene,All,All (12 to 100 years),2016,2016 Annual,1593,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,30,30,42,059,39.854803934,-80.22943817,POINT (-80.22943817 39.854803934)
County,Cameron,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,12,12,42,023,41.438802653,-78.20916932,POINT (-78.20916932 41.438802653)
County,Washington,All,All (12 to 100 years),2019,2019 Annual,6067,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,63,63,42,125,40.191096635,-80.25180083,POINT (-80.25180083 40.191096635)
County,Huntingdon,All,All (12 to 100 years),2019,2019 Annual,853,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,31,31,42,061,40.416105003,-77.9827661,POINT (-77.9827661 40.416105003)
County,Monroe,All,All (12 to 100 years),2018,2018 Annual,2403,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,45,45,42,089,41.060917865,-75.34083603,POINT (-75.34083603 41.060917865)
County,Franklin,All,All (12 to 100 years),2020,2020 Annual,1286,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,28,28,42,055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
County,Perry,All,All (12 to 100 years),2020,2020 Annual,987,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,50,50,42,099,40.404153174,-77.25907385,POINT (-77.25907385 40.404153174)
County,Clearfield,All,All (12 to 100 years),2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,17,17,42,033,41.000429002,-78.47558343,POINT (-78.47558343 41.000429002)
County,Berks,All,All (12 to 100 years),2020,2020 Annual,7894,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,6,06,42,011,40.419396351,-75.93077327,POINT (-75.93077327 40.419396351)
County,Schuylkill,All,All (12 to 100 years),2017,2017 Annual,1091,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,54,54,42,107,40.707512431,-76.22332385,POINT (-76.22332385 40.707512431)
County,Perry,All,All (12 to 100 years),2018,2018 Annual,791,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,50,50,42,099,40.404153174,-77.25907385,POINT (-77.25907385 40.404153174)
County,Bedford,All,All (12 to 100 years),2017,2017 Annual,970,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,5,05,42,009,40.007375364,-78.49116474,POINT (-78.49116474 40.007375364)
County,Sullivan,All,All (12 to 100 years),2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,57,57,42,113,41.448099396,-76.5147922,POINT (-76.5147922 41.448099396)
State,Commonwealth,All,65+ years,2019,2019 Annual,10173,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Cambria,All,All (12 to 100 years),2019,2019 Annual,4361,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,11,11,42,021,40.491274907,-78.71894174,POINT (-78.71894174 40.491274907)
State,Commonwealth,Female,All (12 to 100 years),2018,2018 Annual,87666,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lackawanna,All,All (12 to 100 years),2018,2018 Annual,6358,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,35,35,42,069,41.439100643,-75.61218345,POINT (-75.61218345 41.439100643)
County,Dauphin,All,All (12 to 100 years),2017,2017 Annual,4969,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,22,22,42,043,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
County,Carbon,All,All (12 to 100 years),2020,2020 Annual,1465,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,13,13,42,025,40.919367008,-75.71107039,POINT (-75.71107039 40.919367008)
County,Mifflin,All,All (12 to 100 years),2017,2017 Annual,788,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,44,44,42,087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
County,Lebanon,All,All (12 to 100 years),2019,2019 Annual,2022,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,38,38,42,075,40.367597002,-76.46182575,POINT (-76.46182575 40.367597002)
County,Union,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
County,Wyoming,All,All (12 to 100 years),2019,2019 Annual,1011,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
County,Northumberland,All,All (12 to 100 years),2017,2017 Annual,1818,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,49,49,42,097,40.851509257,-76.71188423,POINT (-76.71188423 40.851509257)
County,Tioga,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,59,59,42,117,41.773338336,-77.25788076,POINT (-77.25788076 41.773338336)
County,Washington,All,All (12 to 100 years),2018,2018 Annual,5421,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,63,63,42,125,40.191096635,-80.25180083,POINT (-80.25180083 40.191096635)
State,Commonwealth,All,0 to 14 years,2016,2016 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Forest,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,27,27,42,053,41.513578758,-79.23780995,POINT (-79.23780995 41.513578758)
County,Adams,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,1,01,42,001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
State,Commonwealth,All,0 to 14 years,2017,2017 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Beaver,All,All (12 to 100 years),2018,2018 Annual,3692,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,4,04,42,007,40.683492455,-80.35107356,POINT (-80.35107356 40.683492455)
County,Fayette,All,All (12 to 100 years),2016,2016 Annual,5133,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,26,26,42,051,39.919447803,-79.65189635,POINT (-79.65189635 39.919447803)
State,Commonwealth,All,55 to 64 years,2018,2018 Annual,42808,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Sullivan,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,57,57,42,113,41.448099396,-76.5147922,POINT (-76.5147922 41.448099396)
County,Chester,All,All (12 to 100 years),2019,2019 Annual,8785,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,15,15,42,029,39.974870557,-75.75626498,POINT (-75.75626498 39.974870557)
County,Montgomery,All,All (12 to 100 years),2018,2018 Annual,13332,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,46,46,42,091,40.209898739,-75.37252001,POINT (-75.37252001 40.209898739)
County,Fayette,All,All (12 to 100 years),2017,2017 Annual,5030,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,26,26,42,051,39.919447803,-79.65189635,POINT (-79.65189635 39.919447803)
County,Erie,All,All (12 to 100 years),2020,2020 Annual,4246,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,25,25,42,049,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
County,Lawrence,All,All (12 to 100 years),2017,2017 Annual,3272,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,37,37,42,073,40.993250351,-80.33754114,POINT (-80.33754114 40.993250351)
County,Lebanon,All,All (12 to 100 years),2020,2020 Annual,2601,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,38,38,42,075,40.367597002,-76.46182575,POINT (-76.46182575 40.367597002)
County,Huntingdon,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,31,31,42,061,40.416105003,-77.9827661,POINT (-77.9827661 40.416105003)
County,Tioga,All,All (12 to 100 years),2017,2017 Annual,727,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,59,59,42,117,41.773338336,-77.25788076,POINT (-77.25788076 41.773338336)
County,Lehigh,All,All (12 to 100 years),2016,2016 Annual,5900,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,39,39,42,077,40.614647942,-75.60099481,POINT (-75.60099481 40.614647942)
County,Schuylkill,All,All (12 to 100 years),2016,2016 Annual,3127,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,54,54,42,107,40.707512431,-76.22332385,POINT (-76.22332385 40.707512431)
County,Snyder,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,55,55,42,109,40.771137369,-77.07255968,POINT (-77.07255968 40.771137369)
County,Bucks,All,All (12 to 100 years),2016,2016 Annual,12361,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,9,09,42,017,40.335011331,-75.11291241,POINT (-75.11291241 40.335011331)
County,McKean,All,All (12 to 100 years),2019,2019 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,42,42,42,083,41.810370736,-78.5712202,POINT (-78.5712202 41.810370736)
County,Wayne,All,All (12 to 100 years),2017,2017 Annual,848,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,64,64,42,127,41.649698053,-75.3051535,POINT (-75.3051535 41.649698053)
County,Bucks,All,All (12 to 100 years),2017,2017 Annual,15180,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,9,09,42,017,40.335011331,-75.11291241,POINT (-75.11291241 40.335011331)
County,Butler,All,All (12 to 100 years),2020,2020 Annual,4306,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,10,10,42,019,40.910831848,-79.91711779,POINT (-79.91711779 40.910831848)
County,Delaware,All,All (12 to 100 years),2019,2019 Annual,13714,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,23,23,42,045,39.916578665,-75.40627712,POINT (-75.40627712 39.916578665)
State,Commonwealth,Male,All (12 to 100 years),2020,2020 Annual,209360,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lycoming,All,All (12 to 100 years),2016,2016 Annual,1328,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,41,41,42,081,41.344597923,-77.06942457,POINT (-77.06942457 41.344597923)
County,Susquehanna,All,All (12 to 100 years),2016,2016 Annual,915,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,58,58,42,115,41.820568598,-75.80250303,POINT (-75.80250303 41.820568598)
County,Lancaster,All,All (12 to 100 years),2018,2018 Annual,8028,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,36,36,42,071,40.045907962,-76.25138768,POINT (-76.25138768 40.045907962)
County,Centre,All,All (12 to 100 years),2018,2018 Annual,1084,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,14,14,42,027,40.919313501,-77.82500112,POINT (-77.82500112 40.919313501)
County,Columbia,All,All (12 to 100 years),2018,2018 Annual,1289,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,19,19,42,037,41.049120856,-76.4100218,POINT (-76.4100218 41.049120856)
County,Centre,All,All (12 to 100 years),2020,2020 Annual,748,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,14,14,42,027,40.919313501,-77.82500112,POINT (-77.82500112 40.919313501)
County,Blair,All,All (12 to 100 years),2016,2016 Annual,2714,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,7,07,42,013,40.485550238,-78.34907687,POINT (-78.34907687 40.485550238)
County,Potter,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,53,53,42,105,41.744206438,-77.89879229,POINT (-77.89879229 41.744206438)
County,Lycoming,All,All (12 to 100 years),2017,2017 Annual,1091,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,41,41,42,081,41.344597923,-77.06942457,POINT (-77.06942457 41.344597923)
County,Cumberland,All,All (12 to 100 years),2020,2020 Annual,3379,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,21,21,42,041,40.167598388,-77.26866271,POINT (-77.26866271 40.167598388)
County,McKean,All,All (12 to 100 years),2020,2020 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,42,42,42,083,41.810370736,-78.5712202,POINT (-78.5712202 41.810370736)
County,Dauphin,All,All (12 to 100 years),2016,2016 Annual,5133,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,22,22,42,043,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
County,Columbia,All,All (12 to 100 years),2020,2020 Annual,1047,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,19,19,42,037,41.049120856,-76.4100218,POINT (-76.4100218 41.049120856)
State,Commonwealth,All,All (12 to 100 years),2018,2018 Annual,293000,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Allegheny,All,All (12 to 100 years),2016,2016 Annual,41979,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,2,02,42,003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
County,Washington,All,All (12 to 100 years),2016,2016 Annual,7287,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,63,63,42,125,40.191096635,-80.25180083,POINT (-80.25180083 40.191096635)
County,Cameron,All,All (12 to 100 years),2018,2018 Annual,,Number of unique individuals estimated to have Drug Use Disorder,Not displayed when input value is suppressed,12,12,42,023,41.438802653,-78.20916932,POINT (-78.20916932 41.438802653)
