,Total Population,State,PUMA,Male Polulation,Female Population,Grandparents Living With Grandchildren,Grandparents Responsible for Grandchildren,Childcare Employees Total
587,199858,13,04300,94266,105592,1206,1158,1327
588,239266,15,00100,119063,120203,3157,1603,1165
589,201258,15,00200,99810,101448,935,619,875
590,103400,15,00301,53417,49983,878,357,525
591,113548,15,00302,57615,55933,1071,303,861
592,104977,15,00303,51687,53290,769,295,312
593,124790,15,00304,61944,62846,556,259,509
594,113957,15,00305,57844,56113,1498,703,596
595,150008,15,00306,77131,72877,1512,991,956
596,140619,15,00307,70655,69964,2180,1198,789
597,124749,16,00100,62953,61796,546,208,426
598,155713,16,00200,77124,78589,292,276,840
599,108285,16,00300,55085,53200,679,297,828
600,126040,16,00400,62270,63770,626,305,730
601,131677,16,00500,64854,66823,857,714,685
602,139023,16,00600,70802,68221,368,119,1601
603,0,16,00700,0,0,0,0,0
604,125750,16,00800,65178,60572,303,136,969
605,110024,16,00900,54701,55323,411,212,467
606,0,17,00101,0,0,0,0,0
607,0,17,00102,0,0,0,0,0
608,0,17,00103,0,0,0,0,0
609,0,17,00200,0,0,0,0,0
610,108222,17,00300,54593,53629,413,156,738
611,0,17,00400,0,0,0,0,0
612,0,17,00500,0,0,0,0,0
613,98970,17,00600,48621,50349,379,198,678
614,105019,17,00700,53910,51109,338,248,633
615,131081,17,00800,65121,65960,554,251,697
616,184011,17,00900,92128,91883,607,424,1661
617,0,17,01000,0,0,0,0,0
618,0,17,01101,0,0,0,0,0
619,0,17,01102,0,0,0,0,0
620,0,17,01201,0,0,0,0,0
621,0,17,01202,0,0,0,0,0
622,195897,17,01300,93897,102000,831,655,1193
623,0,17,01400,0,0,0,0,0
624,104912,17,01500,50183,54729,399,319,1075
625,0,17,01600,0,0,0,0,0
626,0,17,01700,0,0,0,0,0
627,0,17,01800,0,0,0,0,0
628,132659,17,01900,65500,67159,543,320,1015
629,171847,17,02000,83728,88119,779,343,1345
630,210489,17,02100,104959,105530,847,288,1600
631,153201,17,02200,76322,76879,555,282,855
632,109773,17,02300,54292,55481,256,195,817
633,109301,17,02400,55101,54200,445,237,514
634,0,17,02500,0,0,0,0,0
635,0,17,02600,0,0,0,0,0
636,95314,17,02700,46547,48767,313,280,532
637,0,17,02800,0,0,0,0,0
638,0,17,02900,0,0,0,0,0
639,0,17,03001,0,0,0,0,0
640,0,17,03002,0,0,0,0,0
641,0,17,03003,0,0,0,0,0
642,0,17,03004,0,0,0,0,0
643,147648,17,03005,73441,74207,619,634,871
644,0,17,03006,0,0,0,0,0
645,0,17,03101,0,0,0,0,0
646,133924,17,03102,66133,67791,656,407,673
647,0,17,03103,0,0,0,0,0
648,0,17,03104,0,0,0,0,0
649,0,17,03201,0,0,0,0,0
650,117254,17,03202,57701,59553,175,164,702
651,119566,17,03203,60473,59093,239,192,767
652,147791,17,03204,71801,75990,703,158,488
653,125724,17,03205,60611,65113,449,355,717
654,0,17,03206,0,0,0,0,0
655,0,17,03301,0,0,0,0,0
656,0,17,03302,0,0,0,0,0
657,0,17,03303,0,0,0,0,0
658,0,17,03304,0,0,0,0,0
659,0,17,03305,0,0,0,0,0
660,125930,17,03401,60819,65111,475,154,727
661,0,17,03402,0,0,0,0,0
662,0,17,03403,0,0,0,0,0
663,0,17,03404,0,0,0,0,0
664,0,17,03405,0,0,0,0,0
665,0,17,03406,0,0,0,0,0
666,174062,17,03407,84945,89117,1179,566,632
667,188370,17,03408,92063,96307,788,651,1249
668,151364,17,03409,74866,76498,794,741,1294
669,175060,17,03410,86865,88195,658,205,698
670,169555,17,03411,82501,87054,967,748,957
671,107322,17,03412,52713,54609,488,418,568
672,165235,17,03413,75873,89362,1048,675,1619
673,165287,17,03414,77533,87754,711,396,1196
674,174283,17,03501,87613,86670,330,71,1161
675,171019,17,03502,87146,83873,122,0,489
676,156407,17,03503,76773,79634,707,342,951
677,141586,17,03504,69620,71966,751,533,1062
678,0,17,03505,0,0,0,0,0
679,0,17,03506,0,0,0,0,0
680,0,17,03507,0,0,0,0,0
681,0,17,03508,0,0,0,0,0
682,0,17,03509,0,0,0,0,0
683,0,17,03510,0,0,0,0,0
684,0,17,03511,0,0,0,0,0
685,0,17,03512,0,0,0,0,0
686,0,17,03513,0,0,0,0,0
687,0,17,03514,0,0,0,0,0
688,0,17,03515,0,0,0,0,0
689,0,17,03516,0,0,0,0,0
690,0,17,03517,0,0,0,0,0
691,0,17,03518,0,0,0,0,0
692,0,17,03519,0,0,0,0,0
693,0,18,00100,0,0,0,0,0
694,0,18,00201,0,0,0,0,0
695,0,18,00202,0,0,0,0,0
696,0,18,00203,0,0,0,0,0
697,109844,18,00300,56743,53101,396,315,544
698,0,18,00400,0,0,0,0,0
699,205071,18,00500,101248,103823,1008,953,1426
700,165074,18,00600,83313,81761,544,426,1023
701,103007,18,00700,51481,51526,453,126,499
702,125692,18,00800,62770,62922,438,217,402
703,133758,18,00900,66390,67368,376,178,727
704,0,18,01000,0,0,0,0,0
705,123594,18,01100,61930,61664,529,334,1038
706,193512,18,01200,98552,94960,565,218,1654
707,135360,18,01300,66177,69183,527,449,866
708,133165,18,01400,65593,67572,592,305,395
709,105574,18,01500,53928,51646,410,252,576
710,103881,18,01600,52014,51867,403,341,593
711,107362,18,01700,54402,52960,499,214,728
712,0,18,01800,0,0,0,0,0
713,0,18,01901,0,0,0,0,0
714,0,18,01902,0,0,0,0,0
715,0,18,02001,0,0,0,0,0
716,0,18,02002,0,0,0,0,0
717,122560,18,02100,61918,60642,454,248,609
718,166998,18,02200,83486,83512,795,434,1080
719,110445,18,02301,50187,60258,540,546,761
720,112093,18,02302,52723,59370,334,335,790
721,125905,18,02303,58808,67097,519,466,1287
722,148855,18,02304,73150,75705,951,769,978
723,150633,18,02305,75947,74686,540,547,1066
724,163255,18,02306,78080,85175,1130,582,1284
725,145705,18,02307,71817,73888,855,130,738
726,156052,18,02400,76148,79904,462,768,799
727,121237,18,02500,60013,61224,478,134,767
728,113229,18,02600,55268,57961,634,391,603
729,161258,18,02700,80369,80889,805,477,573
730,147529,18,02800,73768,73761,289,101,1329
731,127299,18,02900,63649,63650,605,366,631
732,110422,18,03000,54262,56160,870,569,401
733,117631,18,03100,58330,59301,465,280,713
734,121630,18,03200,60174,61456,521,142,432
735,181641,18,03300,87749,93892,557,296,1332
736,141429,18,03400,71570,69859,599,199,730
737,146115,18,03500,71618,74497,522,168,827
738,117366,18,03600,56738,60628,299,163,550
739,0,18,03700,0,0,0,0,0
740,0,18,03800,0,0,0,0,0
741,118296,19,00100,59093,59203,127,211,1328
742,112787,19,00200,55763,57024,257,80,954
743,0,19,00300,0,0,0,0,0
744,117349,19,00400,58766,58583,284,99,1192
745,131580,19,00500,64707,66873,212,61,1081
746,127407,19,00600,64009,63398,673,110,1241
747,154896,19,00700,77090,77806,428,272,1424
748,128334,19,00800,63671,64663,646,378,1059
749,172931,19,00900,84983,87948,384,204,1538
750,225244,19,01000,110875,114369,532,498,2228
751,150755,19,01100,74164,76591,198,180,1899
752,116599,19,01200,57769,58830,280,149,1031
753,123512,19,01300,63761,59751,270,72,1325
754,159462,19,01400,79617,79845,518,141,1684
755,201955,19,01500,98839,103116,374,282,2120
756,152469,19,01600,75379,77090,304,36,1472
757,199615,19,01700,98249,101366,1231,639,2320
758,103057,19,01800,51141,51916,342,251,792
759,118886,19,01900,59421,59465,300,79,951
760,107478,20,00100,53514,53964,311,190,892
761,143689,20,00200,72665,71024,649,361,1199
762,131713,20,00300,68835,62878,352,114,1160
763,124465,20,00400,64712,59753,441,216,879
764,165388,20,00500,82177,83211,1164,560,855
765,121407,20,00601,59277,62130,355,214,1138
766,153847,20,00602,75058,78789,263,96,1042
767,167940,20,00603,83140,84800,437,165,1626
768,154481,20,00604,76031,78450,264,46,1534
769,121320,20,00700,60351,60969,219,115,1528
770,0,20,00800,0,0,0,0,0
771,105357,20,00900,52864,52493,448,454,825
772,100366,20,01000,50313,50053,212,102,566
773,110814,20,01100,55501,55313,362,178,821
774,134063,20,01200,68907,65156,811,398,753
775,0,20,01300,0,0,0,0,0
776,0,20,01401,0,0,0,0,0
777,0,20,01402,0,0,0,0,0
778,0,20,01403,0,0,0,0,0
779,127122,20,01500,63021,64101,590,414,957
780,0,20,01600,0,0,0,0,0
781,196113,21,00100,95368,100745,1312,473,1357
782,106541,21,00200,52291,54250,648,397,497
783,106522,21,00300,55790,50732,282,280,973
784,174838,21,00400,85938,88900,783,538,789
785,130676,21,00500,64360,66316,449,282,1048
786,106683,21,00600,52267,54416,650,297,594
787,102705,21,00700,50822,51883,590,338,882
788,111022,21,00800,54822,56200,328,532,490
789,120229,21,00900,58829,61400,497,305,558
790,104630,21,01000,51950,52680,457,306,435
791,140592,21,01100,69739,70853,742,600,572
792,109956,21,01200,55206,54750,417,337,870
793,165905,21,01300,82108,83797,875,649,785
794,106587,21,01400,52580,54007,578,116,557
795,109771,21,01500,53588,56183,376,206,687
796,118861,21,01600,59163,59698,515,339,1075
797,125750,21,01701,58660,67090,814,474,1205
798,118091,21,01702,58735,59356,300,83,656
799,117361,21,01703,56331,61030,391,45,619
800,134270,21,01704,64225,70045,365,234,831
801,128389,21,01705,62849,65540,494,467,727
802,120097,21,01800,60562,59535,336,143,1090
803,115835,21,01901,56059,59776,170,102,1082
804,206539,21,01902,101522,105017,408,253,1356
805,121600,21,02000,58761,62839,516,273,615
806,125516,21,02100,61572,63944,593,272,678
807,118393,21,02200,57632,60761,632,235,1098
808,138008,21,02300,67383,70625,482,349,1088
809,166693,21,02400,82348,84345,908,556,1175
810,132399,21,02500,65980,66419,513,272,1071
811,123372,22,00101,57367,66005,717,262,630
812,0,22,00102,0,0,0,0,0
813,165216,22,00200,81223,83993,685,613,622
814,174564,22,00300,86136,88428,968,209,920
815,154444,22,00400,73928,80516,691,428,1210
816,147363,22,00500,73440,73923,967,377,544
817,120920,22,00600,62798,58122,706,479,319
818,179724,22,00700,89365,90359,1396,449,750
819,148055,22,00800,76240,71815,594,486,622
820,156256,22,00900,75079,81177,672,164,728
821,116154,22,01000,57007,59147,436,206,545
822,122415,22,01100,59517,62898,483,281,515
823,122052,22,01200,59944,62108,531,178,314
824,174354,22,01300,85848,88506,856,517,665
825,0,22,01401,0,0,0,0,0
826,0,22,01402,0,0,0,0,0
827,175892,22,01501,81783,94109,708,767,1309
828,133879,22,01502,66203,67676,705,248,1094
829,125010,22,01600,61759,63251,641,438,1184
830,150706,22,01700,73932,76774,940,475,1196
831,0,22,01803,0,0,0,0,0
832,0,22,01804,0,0,0,0,0
833,0,22,01901,0,0,0,0,0
834,0,22,01902,0,0,0,0,0
835,0,22,01903,0,0,0,0,0
836,0,22,01904,0,0,0,0,0
837,0,22,02001,0,0,0,0,0
838,0,22,02002,0,0,0,0,0
839,111408,22,02100,55170,56238,628,202,453
840,138846,22,02200,68150,70696,678,189,798
841,107397,22,02300,51792,55605,439,186,754
842,145827,22,02400,67321,78506,1067,325,621
843,123416,22,02500,60713,62703,654,353,972
844,0,22,77777,0,0,0,0,0
845,98845,23,00100,48749,50096,313,130,561
846,155222,23,00200,76784,78438,844,280,873
847,151521,23,00300,75108,76413,395,376,915
848,122124,23,00400,59459,62665,459,282,715
849,168530,23,00500,82544,85986,470,160,969
850,107816,23,00600,52942,54874,374,225,480
851,106055,23,00700,51127,54928,231,55,746
852,181441,23,00800,88755,92686,628,264,1474
853,137513,23,00900,66696,70817,370,67,1224
854,111758,23,01000,53361,58397,398,60,731
855,100129,24,00100,51797,48332,358,204,568
856,150522,24,00200,76218,74304,698,542,1236
857,0,24,00300,0,0,0,0,0
858,168255,24,00400,83303,84952,631,351,1250
859,119242,24,00501,57868,61374,563,338,654
860,134853,24,00502,60570,74283,943,618,1208
861,117294,24,00503,56134,61160,382,288,1051
862,116560,24,00504,54238,62322,396,268,835
863,113194,24,00505,54207,58987,766,263,802
864,112847,24,00506,53552,59295,1120,560,587
865,114150,24,00507,55626,58524,465,240,747
866,138096,24,00601,68535,69561,717,340,854
867,115791,24,00602,55683,60108,689,166,1233
868,102776,24,00700,50857,51919,560,318,624
869,130330,24,00801,58508,71822,1012,663,835
870,107743,24,00802,52442,55301,768,127,682
871,121206,24,00803,54325,66881,1067,751,774
872,130830,24,00804,65095,65735,926,184,707
873,111972,24,00805,52346,59626,830,356,731
874,0,24,00806,0,0,0,0,0
875,141751,24,00901,70053,71698,601,258,651
876,180619,24,00902,87294,93325,568,593,1764
877,144490,24,01001,71199,73291,584,320,1185
878,137074,24,01002,66573,70501,1108,711,1428
879,190372,24,01003,91235,99137,1219,558,1520
880,190522,24,01004,90893,99629,651,412,1152
881,144756,24,01005,70542,74214,733,619,1694
882,123034,24,01006,59398,63636,560,541,955
883,118230,24,01007,57271,60959,236,154,937
884,120837,24,01101,63065,57772,429,370,1078
885,137282,24,01102,64848,72434,831,448,915
886,111667,24,01103,56579,55088,784,356,554
887,115934,24,01104,53040,62894,825,490,952
888,186237,24,01105,87996,98241,1159,882,1544
889,124955,24,01106,59687,65268,820,721,555
890,113228,24,01107,52370,60858,601,311,1149
891,178508,24,01201,89175,89333,780,545,1599
892,117962,24,01202,56917,61045,532,268,1045
893,137080,24,01203,67100,69980,509,282,918
894,141478,24,01204,70978,70500,546,249,653
895,171989,24,01300,83005,88984,610,478,1345
896,180871,24,01400,88452,92419,1063,601,952
897,205267,24,01500,102327,102940,836,567,1729
898,161706,24,01600,78304,83402,1240,1103,1038
899,125807,25,00100,60837,64970,425,292,625
900,123468,25,00200,60376,63092,443,220,748
901,185259,25,00300,91014,94245,821,428,1337
902,112238,25,00400,59068,53170,445,348,729
903,0,25,00500,0,0,0,0,0
904,0,25,00600,0,0,0,0,0
905,0,25,00700,0,0,0,0,0
906,0,25,00800,0,0,0,0,0
907,0,25,00900,0,0,0,0,0
908,134399,25,01000,63964,70435,595,234,844
909,0,25,01100,0,0,0,0,0
910,0,25,01200,0,0,0,0,0
911,134051,25,01300,65664,68387,470,288,976
912,126143,25,01400,61989,64154,368,211,1062
913,0,25,01500,0,0,0,0,0
914,145131,25,01600,67778,77353,445,297,926
915,0,25,01700,0,0,0,0,0
916,0,25,01800,0,0,0,0,0
917,153912,25,01900,72871,81041,724,421,1477
918,0,25,02000,0,0,0,0,0
919,0,25,02100,0,0,0,0,0
920,0,25,02200,0,0,0,0,0
921,0,25,02300,0,0,0,0,0
922,124232,25,02400,60931,63301,648,227,1476
923,0,25,02500,0,0,0,0,0
924,0,25,02600,0,0,0,0,0
925,0,25,02700,0,0,0,0,0
926,147345,25,02800,72274,75071,748,359,1448
927,0,25,02900,0,0,0,0,0
928,0,25,03000,0,0,0,0,0
929,0,25,03100,0,0,0,0,0
930,0,25,03200,0,0,0,0,0
931,118340,25,03301,56816,61524,149,64,749
932,163161,25,03302,80209,82952,677,319,1234
933,123623,25,03303,60390,63233,635,342,560
934,141065,25,03304,65995,75070,607,628,1700
935,142306,25,03305,67335,74971,637,388,1527
936,147656,25,03400,69304,78352,502,350,800
937,112351,25,03500,52487,59864,324,311,817
938,0,25,03600,0,0,0,0,0
939,0,25,03700,0,0,0,0,0
940,0,25,03800,0,0,0,0,0
941,137424,25,03900,65558,71866,688,357,812
942,129122,25,04000,61324,67798,879,630,1159
943,0,25,04100,0,0,0,0,0
944,128208,25,04200,63567,64641,493,315,796
945,0,25,04300,0,0,0,0,0
946,0,25,04400,0,0,0,0,0
947,111525,25,04500,54210,57315,498,169,925
948,0,25,04600,0,0,0,0,0
949,129845,25,04700,62162,67683,442,229,876
950,112453,25,04800,54506,57947,307,134,592
951,169818,26,00100,87799,82019,518,272,641
952,130588,26,00200,68194,62394,435,201,938
953,133137,26,00300,66623,66514,423,356,505
954,148730,26,00400,74262,74468,635,234,594
955,156507,26,00500,77630,78877,837,222,629
956,115804,26,00600,58204,57600,478,96,612
957,173738,26,00700,86308,87430,651,400,1156
958,0,26,00800,0,0,0,0,0
959,117028,26,00900,58331,58697,446,221,423
960,0,26,01000,0,0,0,0,0
961,194558,26,01100,101405,93153,838,386,1048
962,141956,26,01200,71438,70518,357,318,999
963,110267,26,01300,55416,54851,530,288,421
964,0,26,01401,0,0,0,0,0
965,0,26,01402,0,0,0,0,0
966,0,26,01403,0,0,0,0,0
967,191320,26,01500,93241,98079,677,665,1121
968,124618,26,01600,62347,62271,447,212,578
969,0,26,01700,0,0,0,0,0
970,0,26,01800,0,0,0,0,0
971,188764,26,01900,93096,95668,490,292,1517
972,194666,26,02000,95997,98669,904,698,1102
973,0,26,02100,0,0,0,0,0
974,104143,26,02200,52837,51306,448,416,426
975,0,26,02301,0,0,0,0,0
976,0,26,02302,0,0,0,0,0
977,153588,26,02400,75172,78416,813,478,670
978,0,26,02501,0,0,0,0,0
979,0,26,02502,0,0,0,0,0
980,0,26,02503,0,0,0,0,0
981,0,26,02504,0,0,0,0,0
982,0,26,02505,0,0,0,0,0
983,0,26,02506,0,0,0,0,0
984,0,26,02507,0,0,0,0,0
985,0,26,02508,0,0,0,0,0
986,0,26,02601,0,0,0,0,0
987,0,26,02602,0,0,0,0,0
988,0,26,02700,0,0,0,0,0
989,190793,26,02800,95786,95007,688,288,969
990,0,26,02900,0,0,0,0,0
991,0,26,03000,0,0,0,0,0
992,159424,26,03100,79405,80019,427,192,868
993,0,26,03200,0,0,0,0,0
994,150047,26,03300,74142,75905,614,217,802
995,0,26,03400,0,0,0,0,0
996,0,26,03500,0,0,0,0,0
997,0,26,03600,0,0,0,0,0
998,0,26,03701,0,0,0,0,0
999,0,26,03702,0,0,0,0,0
1000,0,26,03703,0,0,0,0,0
1001,0,26,03704,0,0,0,0,0
1002,0,26,03705,0,0,0,0,0
1003,0,26,03706,0,0,0,0,0
1004,0,26,03707,0,0,0,0,0
1005,0,26,03708,0,0,0,0,0
1006,0,26,03801,0,0,0,0,0
1007,0,26,03802,0,0,0,0,0
1008,0,26,03803,0,0,0,0,0
1009,0,26,03804,0,0,0,0,0
1010,0,26,03805,0,0,0,0,0
1011,0,26,03806,0,0,0,0,0
1012,0,26,03807,0,0,0,0,0
1013,0,26,03900,0,0,0,0,0
1014,0,26,04000,0,0,0,0,0
1015,0,26,04101,0,0,0,0,0
1016,0,26,04102,0,0,0,0,0
1017,0,26,04103,0,0,0,0,0
1018,0,26,04104,0,0,0,0,0
1019,148864,27,00100,74478,74386,333,58,1190
1020,120454,27,00200,60483,59971,207,150,804
1021,122993,27,00300,63106,59887,434,132,1033
1022,130081,27,00400,66178,63903,418,105,617
1023,100509,27,00500,49142,51367,167,43,987
1024,167213,27,00600,86015,81198,654,337,1223
1025,136230,27,00700,68408,67822,350,157,904
1026,146988,27,00800,74150,72838,280,107,1192
1027,159711,27,00900,80214,79497,593,340,1685
1028,0,27,01001,0,0,0,0,0
1029,0,27,01002,0,0,0,0,0
1030,0,27,01100,0,0,0,0,0
1031,132934,27,01201,66168,66766,432,230,999
1032,126148,27,01202,63013,63135,464,409,1226
1033,0,27,01203,0,0,0,0,0
1034,132866,27,01301,64087,68779,413,173,1001
1035,108286,27,01302,53168,55118,442,281,648
1036,141983,27,01303,70678,71305,872,757,1134
1037,121134,27,01401,61430,59704,89,216,589
1038,118063,27,01402,57191,60872,326,193,584
1039,115995,27,01403,56554,59441,839,339,1048
1040,110569,27,01404,53208,57361,571,431,1225
1041,153602,27,01405,77662,75940,595,183,1999
1042,133914,27,01406,66261,67653,389,507,1547
1043,154717,27,01501,75516,79201,482,154,1649
1044,155222,27,01502,78668,76554,530,119,1689
1045,0,27,01601,0,0,0,0,0
1046,0,27,01602,0,0,0,0,0
1047,119559,27,01700,59938,59621,665,11,1169
1048,136323,27,01800,69020,67303,606,153,1068
1049,131076,27,01900,66274,64802,478,176,726
1050,100009,27,02000,50091,49918,201,73,694
1051,114130,27,02100,57011,57119,278,129,967
1052,120470,27,02200,59911,60559,293,98,1633
1053,141617,27,02300,71219,70398,660,212,784
1054,127834,27,02400,64176,63658,585,377,989
1055,156470,27,02500,76459,80011,284,262,1520
1056,182295,28,00100,87935,94360,805,412,1137
1057,147237,28,00200,71678,75559,922,700,1072
1058,115853,28,00300,56019,59834,721,387,1109
1059,144507,28,00400,70036,74471,1029,403,879
1060,145857,28,00500,69854,76003,801,217,1115
1061,174889,28,00600,84371,90518,757,278,1571
1062,117658,28,00700,56364,61294,907,292,854
1063,115901,28,00800,56022,59879,634,526,1056
1064,113462,28,00900,57120,56342,420,89,1467
1065,108848,28,01000,51095,57753,684,263,1091
1066,120534,28,01100,54349,66185,520,310,911
1067,101277,28,01200,48775,52502,801,280,707
1068,180731,28,01300,87431,93300,628,371,2063
1069,122667,28,01400,60373,62294,850,483,895
1070,112791,28,01500,54186,58605,643,277,714
1071,176381,28,01600,85124,91257,1725,883,979
1072,132165,28,01700,65586,66579,577,332,695
